Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
Fratelli d'Italia,FdI.paginaufficiale,355710427861591,280174,2020-08-25 12:00:11 EDT,Link,4138,185,334,49,2,4,1,4,11,,0,0,0,N/A,https://www.facebook.com/FdI.paginaufficiale/posts/3156521067780499,🔵 Solidarietà a Nello Musumeci.,https://www.lavocedelpatriota.it/immigrazione-meloni-solidarieta-a-musumeci-e-ai-politici-insultati-solo-perche-difendono-i-cittadini-e-confini-italiani/,,,"Immigrazione, Meloni: solidarietà a Musumeci e ai politici insultati solo perché difendono i cittadini e confini italiani","«Continuano gli attacchi politici e mediatici contro il presidente della Regione Siciliana Nello Musumeci, colpevole di essersi ribellato alle scellerate politiche immigrazioniste del governo, dopo aver annunciato di essere intenzionato a chiudere gli hotspot. Solidarietà a Nello Musumeci e a tutt...",,,1.83
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 11:45:00 EDT,Link,118,578,36,0,4,165,1,219,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3548458178530416,FARAONE DENUNCIA #SALVINI E #MUSUMECI,https://livesicilia.it/2020/08/25/faraone-denuncia-salvini-e-musumeci-alla-procura-di-agrigento/,,,Faraone denuncia Salvini e Musumeci,"Razza: ""Per lui la salute di chi sta negli hotspot non vale nulla"". La Lega: ""Iniziativa fantasiosa""",,,1.65
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 11:37:00 EDT,Link,339,1640,150,1,8,454,7,830,2,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3548433651866202,MIGRANTI: FARAONE DENUNCIA #MUSUMECI E #SALVINI,https://www.lasiciliaweb.it/2020/08/25/migranti-faraone-denuncia-musumeci-e-salvini/,,,Migranti: Faraone denuncia Musumeci e Salvini,"Per il senatore di Italia entrambi sono colpevoli di procurato allarme, abuso d'ufficio e diffamazione",,,5.05
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 11:03:36 EDT,Photo,2734,6182,2921,11,57,1011,60,3653,4,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3548336751875892,"‼️L'ULTIMO DELIRIO DELLA SINISTRA: IMMIGRAZIONE, L'AMICO DI CAROLA, FARAONE, DENUNCIA MUSUMECI E SALVINI (ANSA) - PALERMO, 25 AGO - Il capogruppo di Italia Viva al Senato, Davide Faraone, ha denunciato il leader della Lega Matteo Salvini e il governatore della Sicilia Nello Musumeci per procurato allarme, abuso d'ufficio e diffamazione. L'esposto, che riguarda l'ordinanza del presidente della Regione sulla chiusura degli hotspot, e' stato depositato poco fa alla procura di Agrigento. (ANSA). 25-AGO-20 15:03 NNNN",https://www.facebook.com/legasalvinipremier/photos/a.423252457717686/3548333375209563/?type=3,,"SINISTRA ANTI-ITALIANA IL SIG. FARAONE Ha DENUNCIATO SALVINI E MUSUMECI CHE VERGOGNA! PER PROCURATO ALLARME, DIFFAMAZIONE E ABUSO D'UFFICIO!",,,,,15.16
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 10:51:03 EDT,Native Video,1717,856,387,24,18,149,14,293,16,share,29430,645775,0,00:02:05,https://www.facebook.com/legasalvinipremier/posts/3548303378545896,"🔴 #Salvini: Non mi bastavano i processi per “sequestro di persona”: la sinistra (nella persona del signor Faraone) mi ha denunciato, insieme al governatore della Sicilia Musumeci, per “procurato allarme”, “abuso d’ufficio” e “diffamazione”...! Sappiano che io non mollo, a testa alta, con l’onore di aver difeso i confini del mio Paese e la sicurezza degli italiani. L’ho fatto e lo rifarò.",https://www.facebook.com/salviniofficial/videos/596935574302806/,,,Matteo Salvini,"Non mi bastavano i processi per “sequestro di persona”: la sinistra (nella persona del signor Faraone) mi ha denunciato, insieme al governatore della Sicilia Musumeci, per “procurato allarme”, “abuso d’ufficio” e “diffamazione”...!
Sappiano che io non mollo, a testa alta, con l’onore di aver difeso i confini del mio Paese e la sicurezza degli italiani. L’ho fatto e lo rifarò.",,,2.61
Matteo Salvini,salviniofficial,252306033154,4350206,2020-08-25 10:48:48 EDT,Native Video,26976,8495,8168,544,338,2351,204,4398,312,original,435707,645775,0,00:02:05,https://www.facebook.com/salviniofficial/posts/10158021345253155,"Non mi bastavano i processi per “sequestro di persona”: la sinistra (nella persona del signor Faraone) mi ha denunciato, insieme al governatore della Sicilia Musumeci, per “procurato allarme”, “abuso d’ufficio” e “diffamazione”...! Sappiano che io non mollo, a testa alta, con l’onore di aver difeso i confini del mio Paese e la sicurezza degli italiani. L’ho fatto e lo rifarò.",https://www.facebook.com/salviniofficial/videos/596935574302806/,,,"++ IMMIGRAZIONE IN SICILIA, LA SINISTRA DENUNCIA SALVINI ++",,,,2.19
Partito Democratico,partitodemocratico,77034286895,344890,2020-08-25 10:30:00 EDT,Photo,1331,429,385,5,3,149,7,117,0,,0,0,0,N/A,https://www.facebook.com/partitodemocratico/posts/10158060579676896,"È passata la mezzanotte, siamo al 25 agosto e per ora non c’è traccia dell’ordinanza di Musumeci, che aveva previsto lo sgombero dei migranti dalla Sicilia. Il teletrasporto è difettoso, si sa, così i proclami del Presidente sono rimasti tali. Noi l'avevamo detto: quell'ordinanza è inapplicabile e si rifà a competenze statali. Ma questo Musumeci lo sapeva bene. È stato lui stesso a dirlo, il 12 agosto: la competenza sui porti non è del Presidente della Regione. Però pochi giorni dopo ci ha provato comunque. E gli è andata male. E fa sorridere il tentativo di ripulire le sue vere intenzioni raccontandosi uno storico cattolico militante. Il Movimento Sociale Italiano di cui ha fatto parte era dichiaratamente fascista, erede della storia più nera del nostro Paese. Per fortuna ci hanno pensato la Caritas di Palermo e il parroco di Floridia a sottolineare quanto poco sia d'animo cattolico un'ordinanza che «equipara i poveri e gli untori e divide l’umanità in due preparando la catastrofe planetaria che verrà da un mondo disunito e disumano». Efisio De Muru",https://www.facebook.com/partitodemocratico/photos/a.113463676895/10158060577921896/?type=3,,Passata la mezzanotte: era solo fuffa PD] Partito/Democratico,,,,,1.43
Giorgia Meloni,giorgiameloni.paginaufficiale,38919827644,1631205,2020-08-25 09:42:30 EDT,Photo,54013,3695,9104,858,23,133,19,88,481,,0,0,0,N/A,https://www.facebook.com/giorgiameloni.paginaufficiale/posts/10158532262327645,"Continuano gli attacchi politici e mediatici contro il Presidente della Regione Sicilia Nello Musumeci, colpevole di essersi ribellato alle scellerate politiche immigrazioniste del governo, dopo aver annunciato di essere intenzionato a chiudere gli hotspot. Solidarietà a Nello Musumeci e a tutti i politici insultati solo perché difendono i cittadini e i confini italiani.",https://www.facebook.com/giorgiameloni.paginaufficiale/photos/a.10151958645677645/10158532262257645/?type=3,,ATTACCATO DALLA SINISTRA PERCHÉ VUOLE DIFENDERE LA SICILIA E SICILIANI DALLA FURIA IMMIGRAZIONISTA DEL GOVERNO et SOLIDARIETÀ A NELLO MUSUMECI,,,,,1.91
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 07:11:19 EDT,Native Video,13580,2027,8183,142,28,110,23,205,53,crosspost,285468,461664,1213565,00:02:29,https://www.facebook.com/legasalvinipremier/posts/3547701621939405,MUSUMECI ASFALTA IL GIORNALISTA DI SINISTRA,https://www.facebook.com/legasalvinipremier/videos/1230491680650029/,,,MUSUMECI ASFALTA IL GIORNALISTA DI SINISTRA,,,,18.28
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 07:11:03 EDT,Link,221,239,64,0,3,6,2,275,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3547702521939315,"MIGRANTI, A TRAPANI LO SBARCO DALLA NAVE QUARANTENA 'AZZURRA'",https://www.adnkronos.com/fatti/cronaca/2020/08/24/migranti-trapani-sbarco-dalla-nave-quarantena-azzurra_nW2WNlAw9YYrxjNbgg21ZI.html,,,"Migranti, a Trapani lo sbarco dalla nave quarantena 'Azzurra'","Il sindaco: ""Inapplicabile l'ordinanza del governatore Musumeci""",,,1.19
