date,engagement,MA_7
2019-12-12,0.03537888774316691,0.03537888774316691
2019-12-13,0.05772402464052222,0.04655145619184456
2020-01-09,0.15259340143109842,0.15259340143109842
2020-01-10,0.21672785361905075,0.1846606275250746
2020-01-11,0.12399961701366875,0.1644402906879393
2020-01-12,0.11974815683753257,0.15326725722533763
2020-01-15,0.06307075218686432,0.13522795621764297
2020-01-16,0.10499445061043286,0.12570816605350985
2020-01-20,0.04738605803651414,0.07181708694460377
2020-01-21,0.09242695101466047,0.07696955296211794
2020-02-04,0.0748994271360441,0.07489942713604407
2020-02-05,0.09247153819543824,0.08368548266574116
2020-02-06,0.06202621485306998,0.0764657267281841
2020-05-12,0.0557317773905569,0.055731777390556896
2020-05-13,0.11956439554180386,0.08764808646618037
2020-07-15,0.09735058994594682,0.09735058994594681
2020-07-16,0.14747089863953597,0.12241074429274139
2020-07-28,0.09594667399179238,0.09594667399179235
2020-07-29,0.14202853172158553,0.11898760285668894
