date,engagement,MA_7
2019-12-06,0.06427352287177254,0.06427352287177254
2019-12-07,0.12057356959743075,0.09242354623460164
2019-12-18,0.019617050138258468,0.019617050138258454
2019-12-19,0.03627027222269045,0.02794366118047445
2019-12-31,0.1210086071429146,0.12100860714291459
2020-01-01,0.17793889606314733,0.14947375160303095
2020-01-08,0.097695771757931,0.09769577175793094
2020-01-09,0.17143853107754645,0.1345671514177387
2020-01-13,0.3450033961405472,0.20471256632534152
2020-01-14,0.41486034708436065,0.2572495115150963
2020-01-15,0.3400412995241576,0.317835893456653
2020-01-16,0.09474193640219772,0.2986617447878158
2020-01-17,0.15608506277222645,0.27014640838469794
2020-01-20,0.05577163548211397,0.21230005625301135
2020-01-21,0.12237831850729138,0.1538036505375975
2020-01-29,0.04011541018609853,0.04011541018609888
2020-01-30,0.08379101995928281,0.061953215072690845
2020-01-31,0.02801654829584167,0.05064099281374112
2020-02-01,0.07355824612082676,0.05637030614051253
2020-02-02,0.09416138215215146,0.06392852134284031
2020-02-03,0.06781830789511788,0.06457681910155325
2020-02-05,0.34128208570938795,0.11477126502210148
2020-02-06,0.5747670428204557,0.19660060216563027
2020-02-09,0.27092007112498917,0.3136968768874877
2020-02-10,0.38683022161505765,0.3934498553174727
2020-02-12,0.9839407011887235,0.5541145091873065
2020-02-13,1.0616384227600144,0.6758323541721962
2020-02-14,0.45783102080016175,0.6322320874977894
2020-02-17,1.8940085628905357,1.0993546769098588
2020-02-18,2.751740028723596,1.429831747272606
2020-03-02,0.30459117773689764,0.30459117773689764
2020-03-03,0.5348359548132533,0.4197135662750755
2020-03-07,0.03147906763595174,0.2903020667287009
2020-03-08,0.05664250659484214,0.23188717669523623
2020-03-09,0.027237648483014302,0.1625487943817654
2020-03-10,0.05856654869290111,0.04348144285167735
2020-03-19,0.03235984579268161,0.032359845792681724
2020-03-20,0.05888390216748425,0.04562187398008299
2020-04-02,0.4430858281634144,0.4430858281634145
2020-04-03,0.735815895810488,0.5894508619869513
2020-04-09,0.3233327784616076,0.5295743371360478
2020-04-10,0.45325124111749254,0.38829200978955014
2020-04-13,0.2753222915818911,0.3506354370536638
2020-04-14,0.41648596509593394,0.36709806906423137
2020-04-16,0.22386269564852204,0.34223054836096
2020-04-17,0.33527486898703734,0.3127364553283462
2020-04-18,0.4958605127285498,0.3493612668083869
2020-04-19,0.19710274594530053,0.3239848466645392
2020-04-20,0.43900457281780847,0.3512652268705254
2020-04-21,1.3196337203974777,0.501789852754116
2020-04-28,0.2371102996100112,0.23711029961001143
2020-04-29,0.3681819436863222,0.3026461216481668
2020-04-30,0.31833190326560173,0.3078747155206451
2020-05-01,0.25985137603881564,0.29586888065018774
2020-05-02,0.10916068388956081,0.25852724129806237
2020-05-06,0.7906635136116738,0.36950186920141304
2020-05-07,0.9513224788469257,0.527749513096744
2020-05-08,0.5661530845863498,0.6043249402336275
2020-05-09,0.19133031882508428,0.6248673489675084
2020-05-10,0.3382202069544815,0.5675379205649029
2020-05-12,0.14919280014845057,0.49781373382882754
2020-05-13,0.2084245685655966,0.40077390965448134
2020-05-14,0.32657842346244004,0.29664990042373374
2020-05-15,0.50112394527442,0.2858117105384121
2020-05-16,0.7839381195715969,0.38457967732949755
2020-05-22,1.5264503980623112,1.155194258816954
2020-05-23,1.188573531239249,1.3575119646507798
2020-05-24,0.041299329070494356,0.9187744194573514
2020-05-31,0.4450575660420899,0.44505756604208946
2020-06-01,0.6714324628761162,0.5582450144591029
2020-06-06,0.0748362698185186,0.3971087662455748
2020-06-07,0.13271883981271176,0.2929958575024487
2020-06-09,0.6120492984927781,0.2732014693746693
2020-06-10,0.491850738164804,0.327863786572203
2020-06-11,0.5108531875627863,0.36446166677031966
2020-06-12,0.8411390581315832,0.4439078986638636
2020-06-13,0.603252092203788,0.5319772023947419
2020-06-16,0.4545815904699005,0.5803353333065724
2020-06-17,0.6337646370030245,0.6087181130742165
2020-06-18,0.6106602289498011,0.6286795213516194
2020-06-20,0.27032946811048664,0.4923339811333032
2020-06-21,0.4613107233674584,0.4861293295801342
2020-06-23,0.24124114592108067,0.4434612406703703
2020-06-24,0.40878857453839684,0.39846602817744475
2020-07-07,0.06294829783835755,0.06294829783835772
2020-07-08,0.12671085226566897,0.09482957505201334
2020-07-09,0.12626815997110077,0.1053091033583758
2020-07-10,0.2796969469297118,0.1489060642512098
2020-07-11,0.338227528892791,0.18677035717952606
2020-07-12,0.6083225914557373,0.25702906289222793
2020-07-14,0.07082765687101238,0.2583422893976704
2020-07-15,0.09959650646100414,0.2538232317635596
2020-07-16,0.19072489562893746,0.2645660210398657
2020-07-17,0.21005975965351525,0.2529598231604996
2020-07-18,0.01662314866139589,0.19935909312193376
2020-07-27,0.08262131063915101,0.0826213106391511
2020-07-28,0.1559762902966382,0.11929880046789465
2020-07-29,0.9345487849801432,0.39104879530531084
2020-07-30,1.9934167485686582,0.7916407836211476
2020-07-31,0.1545425794115295,0.6642211427792241
2020-08-01,0.2857288266214929,0.6011390900862689
2020-08-02,0.0739181580269106,0.525821814077789
2020-08-03,0.11748430489912985,0.5308022418292146
2020-08-04,0.1868351528536882,0.5352106507659361
2020-08-14,0.24768841419306428,0.2476884141930643
2020-08-15,0.4107482262815024,0.32921832023728337
2020-08-23,0.37530220774520456,0.37530220774520456
2020-08-24,0.4899113282663773,0.4326067680057909
2020-08-26,0.4603318094549337,0.4418484484888385
2020-08-27,0.7615982643283312,0.5217859024487117
2020-08-28,0.27179805982448785,0.471788333923867
2020-08-29,0.40170761881354783,0.4601082147388138
