date,engagement,MA_7
2019-12-12,0.04381442325488285,0.04381442325488285
2019-12-13,0.015674987629979643,0.029744705442431248
2020-01-09,0.23283843751712047,0.23283843751712047
2020-01-10,0.2529616491059204,0.24290004331152043
2020-01-11,0.1647400550235562,0.216846713882199
2020-01-12,0.01501938350626091,0.16638988128821447
2020-01-15,0.08652324840012279,0.15041655471059615
2020-01-16,0.028431766122747774,0.10953522043172162
2020-01-20,0.07357844368840522,0.06284448607042525
2020-01-21,0.030980397342486404,0.05487846388844054
2020-02-04,0.20838661757752444,0.2083866175775244
2020-02-05,0.12580654294693727,0.16709658026223084
2020-02-06,0.012741234030986679,0.11564479818514946
2020-05-12,0.05914202026525149,0.05914202026525149
2020-05-13,0.09062837228640434,0.07488519627582792
2020-07-15,0.11625579642235179,0.11625579642235179
2020-07-16,0.013281032254202699,0.06476841433827724
2020-07-28,0.10028391949221911,0.1002839194922191
2020-07-29,0.027596787546832684,0.06394035351952589
