date,engagement,MA_7
2020-01-03,0.6591287199245917,0.6591287199245917
2020-01-04,0.48138028695164914,0.5702545034381203
2020-01-12,0.3042764658401445,0.3042764658401444
2020-01-13,0.2903258173232081,0.29730114158167625
2020-01-14,0.04716350187698578,0.21392192834677945
2020-01-19,0.42658302225609046,0.2546907804854281
2020-01-20,0.36426631625815087,0.27933761346374236
2020-01-31,0.4338344067320984,0.4338344067320983
2020-02-01,0.24355008020176894,0.3386922434669336
2020-02-07,0.049938723368899166,0.146744401785334
2020-02-08,0.03444646776572248,0.04219259556731076
2020-02-19,0.8478558281651165,0.8478558281651164
2020-02-20,0.32527965483493293,0.5865677415000247
2020-04-12,0.8216737518400814,0.8216737518400813
2020-04-13,0.9511673339111533,0.8864205428756173
