date,engagement,MA_7
2020-01-06,0.7320205479452055,0.7320205479452055
2020-01-07,0.11605563060063545,0.4240380892729205
2020-01-08,0.03757467371865607,0.2952169507548324
2020-01-09,0.7797567539296888,0.4163519015485465
2020-01-10,0.30143710376948524,0.39336894199273426
2020-01-11,0.10126413775726083,0.3446848079534887
2020-01-14,0.11645316918981867,0.26729716767298195
2020-01-15,0.36076202064756546,0.33193463705876386
2020-01-16,0.18679728217084107,0.21334274270699433
2020-01-17,0.6697229609455024,0.2869999141421978
2020-01-18,0.1953570613734885,0.3058184988654433
2020-01-19,0.03137120693588866,0.2600772835438509
2020-01-20,0.047531905791762724,0.22971365815069542
2020-01-21,0.02851900791877787,0.2171516351119753
2020-02-04,0.05364755927343164,0.053647559273432066
2020-02-05,0.018515529306759593,0.03608154429009583
2020-02-10,0.3171046635272672,0.12975591736915296
2020-02-11,0.08070028862220871,0.1387734938187453
2020-02-18,0.26003359558132694,0.2600335955813273
2020-02-19,0.192178113522696,0.22610585455201165
2020-02-21,0.06926653382673878,0.17382608097692068
2020-02-22,0.21918068173731528,0.18516473116701934
2020-02-23,0.10389487167322926,0.16891075926826132
2020-03-20,0.2507096436841712,0.2507096436841716
2020-03-21,0.041084634346754315,0.14589713901546295
2020-03-22,0.09220839096357768,0.12800088966483453
2020-03-23,0.0209564524917222,0.10123978037155644
2020-05-08,0.13667071955534021,0.13667071955534058
2020-05-09,0.03565323118834962,0.0861619753718451
2020-05-13,0.2339224035526965,0.13541545143212888
2020-05-14,0.18732067471993274,0.14839175725407985
2020-05-15,0.12970642503516688,0.14665068362403652
2020-05-16,0.200953616251667,0.18797577988986586
2020-06-16,0.0619124576058999,0.06191245760590015
2020-06-17,0.07192770810097193,0.06692008285343604
2020-07-03,0.07498841088195461,0.07498841088195486
2020-07-04,0.04044829435450885,0.057718352618231855
2020-07-14,0.36866694210748546,0.36866694210748574
2020-07-15,0.17433664678895958,0.27150179444822264
2020-07-16,0.019521141850604246,0.18750824358234985
2020-07-28,0.35664697394571343,0.3566469739457137
2020-07-29,1.0322563081069553,0.6944516410263345
2020-07-30,0.33394435470698197,0.5742825455865503
2020-08-01,0.27941956934912476,0.5005668015271939
2020-08-02,0.030845017395682604,0.4066224447008916
2020-08-03,0.7415705875416141,0.4624471351743454
2020-08-04,0.13289307776739628,0.4251548191446259
2020-08-05,0.05578408384846684,0.2624094484348778
2020-08-06,0.01451293238334097,0.2091708780476043
2020-08-07,0.28432666276681134,0.21990741872177672
2020-08-08,0.09976374132168819,0.19424230043214294
2020-08-11,0.1863472315421027,0.12814693037248204
2020-08-12,0.36906391969459285,0.19080289754170723
2020-08-13,0.28563008636909754,0.24502632833885857
2020-08-14,0.03853651901890556,0.1958682995892774
2020-08-27,0.3276388731756986,0.32763887317569873
2020-08-28,0.22580258338065837,0.27672072827817856
2020-08-29,0.09456842410092126,0.21600329355242612
2020-08-31,0.15965409786389148,0.20191599463029247
2020-09-01,0.06603257305418742,0.17473931031507145
